Model,Test,Few(n),n,Prompt,r,s,ex_selector,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
flan-t5-base,med-easi-test,med-easi-validation,3,p0,1,287,random,15.9065,1.4779,46.7023,65.2,37.7934,9.4317,39.8462,35.4423,37.562,75.7603,59.8546,67.5798,150.388,213.4951,51.5136,19.8112,92.2604,98.6176,37.5372,85.2246,0.8138,0.9827,0.7481,0.1367,0.1202,0.3473,8.8743
flan-t5-base,med-easi-test,med-easi-validation,3,p0,1,489,random,16.4554,1.7737,47.5037,65.3543,38.2106,9.6213,40.3464,33.8137,36.9711,74.008,57.9323,65.7295,149.8449,232.5193,53.1446,19.1998,93.1366,99.1989,37.586,86.6063,0.789,0.9696,0.7319,0.12,0.1271,0.3638,8.9216
flan-t5-base,med-easi-test,med-easi-validation,3,p0,1,723,random,15.7291,1.3425,46.2906,64.7874,37.4735,9.3587,41.6636,34.763,38.1098,75.9874,58.7001,67.0713,135.7532,190.4395,53.6056,18.8423,92.8711,99.119,37.6874,85.7824,0.8035,0.9923,0.7397,0.1033,0.1271,0.3535,8.9367
flan-t5-base,med-easi-test,med-easi-validation,3,p1,1,287,random,18.0193,1.0613,44.0714,53.8946,33.0091,10.089,38.4698,36.4885,37.3921,74.8729,63.9142,69.2517,147.1174,270.8376,49.8904,19.2899,91.0752,98.2235,35.4834,84.2864,0.9325,1.0153,0.7806,0.1233,0.1544,0.2879,8.9358
flan-t5-base,med-easi-test,med-easi-validation,3,p1,1,489,random,20.0065,1.2678,48.0956,56.6741,35.3458,9.9775,39.1149,38.3737,38.6755,74.9273,65.8955,70.2771,132.6704,200.948,50.419,19.2979,91.2622,98.8071,36.0193,84.807,0.9387,1.0251,0.7816,0.11,0.1638,0.2797,8.9378
flan-t5-base,med-easi-test,med-easi-validation,3,p1,1,723,random,17.7517,1.4299,45.1855,57.7872,34.8009,9.9957,38.547,36.6163,37.5114,72.7112,62.783,67.6117,134.4906,219.689,48.8395,18.9731,90.2064,98.345,34.8327,83.0857,0.9215,1.0165,0.7638,0.12,0.1756,0.3028,8.9322
flan-t5-base,med-easi-test,med-easi-validation,3,p2,1,287,random,18.6423,2.1478,47.8129,61.1829,37.0479,9.1737,42.1526,39.386,40.7036,78.3193,66.4618,72.2743,132.8826,191.3646,52.4133,18.5186,90.5501,98.6407,35.5602,84.8414,0.8539,1.0825,0.7931,0.05,0.1485,0.3001,8.8892
flan-t5-base,med-easi-test,med-easi-validation,3,p2,1,489,random,18.4441,1.7631,46.8617,58.7252,35.7833,9.0272,41.7538,40.0467,40.8348,80.4242,70.0366,75.1147,134.502,208.4886,51.2987,18.1607,90.7762,99.0636,35.3519,84.3375,0.8692,1.1191,0.8116,0.1,0.1286,0.2699,8.9182
flan-t5-base,med-easi-test,med-easi-validation,3,p2,1,723,random,18.3578,1.9497,48.2256,62.4739,37.5497,8.9606,42.0778,38.8082,40.3626,78.3235,65.6829,71.8638,147.0927,295.4655,52.1513,18.053,91.3399,98.9609,35.6234,84.8318,0.8407,1.0773,0.7876,0.07,0.1433,0.3076,8.8829
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p0,1,287,random,46.5085,2.2908,55.7312,52.0672,36.6964,6.9172,69.1186,55.9122,61.8171,74.7879,56.6904,65.5522,113.1537,138.9336,58.6425,16.4506,94.1207,99.415,34.4513,84.9607,0.7149,1.0603,0.7316,0.0977,0.1136,0.3929,8.6136
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p0,1,489,random,44.8002,2.4962,55.9502,54.9657,37.804,7.0911,67.5409,54.6876,60.3417,73.0045,54.9487,63.7908,107.5286,105.4622,59.8736,16.6376,94.73,99.585,34.4301,84.7064,0.7217,1.0462,0.7186,0.082,0.1186,0.3975,8.5569
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p0,1,723,random,47.0997,3.073,55.9256,53.8801,37.6262,6.9077,68.1076,56.1993,61.5446,72.9046,55.9364,64.248,105.9835,105.3915,59.581,17.9688,93.7118,99.2615,34.305,84.837,0.7475,1.0759,0.7263,0.0703,0.1318,0.3877,8.5798
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p1,1,287,random,54.6197,2.4798,59.1936,45.1101,35.5945,8.1104,68.5301,61.9288,64.699,75.4206,64.5262,69.8727,111.7672,111.8624,55.7049,18.4864,92.8183,98.9193,33.0518,83.3911,0.8324,1.03,0.7893,0.0977,0.1289,0.3014,8.5926
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p1,1,489,random,60.7822,2.6256,63.6481,44.3679,36.8805,8.2893,73.6161,67.4146,70.0829,80.5302,70.9208,75.6435,99.1617,85.4206,56.042,18.1576,93.1163,99.2508,33.4216,83.0715,0.8618,1.0303,0.8334,0.125,0.0998,0.2432,8.6599
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p1,1,723,random,58.7572,2.5215,61.6989,43.9096,36.0434,8.0178,70.5931,64.1881,67.0574,77.5036,67.5121,72.4123,100.5823,93.8882,55.4403,19.7503,93.0458,99.2874,33.8695,84.2714,0.8476,1.0404,0.8139,0.1016,0.1156,0.2755,8.6636
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p2,1,287,random,50.9316,3.6234,59.4229,53.561,38.8691,7.1418,72.7338,62.9305,67.276,78.1046,63.8424,70.8535,105.1714,114.5649,58.0212,18.0803,93.2489,99.2923,32.8791,84.2551,0.779,1.0961,0.7795,0.0547,0.1222,0.3354,8.554
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p2,1,489,random,51.6311,3.6232,59.5459,52.6748,38.6146,7.0813,73.3787,62.6358,67.4404,78.9458,64.0711,71.3688,114.4991,133.0707,58.6036,18.936,93.3473,99.482,33.3269,84.4485,0.7778,1.1215,0.7811,0.0742,0.1098,0.327,8.6104
flan-t5-base,news-manual-all-test,news-manual-all-val,3,p2,1,723,random,54.0725,3.5318,61.1736,50.8971,38.5342,7.4,74.8669,65.1762,69.567,81.2011,67.8682,74.4193,111.1225,121.7745,60.7053,16.1689,93.4666,99.5783,32.8319,84.11,0.8042,1.1029,0.8011,0.082,0.1075,0.2977,8.6141
flan-t5-large,asset-test,asset-valid,3,p0,1,287,random,80.5963,4.3309,57.01,55.592,38.9776,7.1464,84.1577,77.39,79.6711,83.4029,67.172,75.0804,153.6912,347.0937,63.9348,15.3794,93.4097,99.0082,42.8739,87.7888,0.7536,1.1005,0.7871,0.1281,0.0666,0.3021,8.5419
flan-t5-large,asset-test,asset-valid,3,p0,1,489,random,81.4093,4.5758,58.1957,55.5419,39.4378,7.4806,84.3037,78.1396,80.0035,82.5845,67.3325,74.7773,142.7636,194.2668,64.4102,15.444,92.8622,98.9131,42.0488,87.8432,0.7664,1.0624,0.789,0.1448,0.0781,0.3014,8.4971
flan-t5-large,asset-test,asset-valid,3,p0,1,723,random,81.3394,4.3081,58.4512,54.1055,38.9549,7.3867,84.2007,78.1549,80.1706,82.8793,67.7224,75.116,150.9,358.396,62.6418,16.3713,92.9764,99.0239,41.8109,87.5701,0.7691,1.087,0.7889,0.1114,0.078,0.297,8.5575
flan-t5-large,asset-test,asset-valid,3,p1,1,287,random,77.7084,5.2431,58.3185,57.1556,40.2391,7.2508,82.93,78.4106,79.1987,82.5372,68.5921,75.4194,131.6718,165.0998,62.8797,16.152,92.5148,98.9651,41.6011,87.3479,0.7865,1.1418,0.7917,0.0696,0.0957,0.2965,8.5077
flan-t5-large,asset-test,asset-valid,3,p1,1,489,random,76.6811,4.9279,59.2022,58.6402,40.9234,7.0231,82.524,77.7994,78.8506,82.0364,68.7056,75.2468,120.7464,127.3633,62.5736,15.7013,92.146,98.8151,41.1977,87.0065,0.7894,1.1318,0.7861,0.0891,0.0993,0.2904,8.5249
flan-t5-large,asset-test,asset-valid,3,p1,1,723,random,78.1296,5.1861,57.6831,57.7347,40.2013,7.0082,82.3441,76.1413,77.9199,81.56,66.6623,73.9564,127.442,158.5796,62.935,15.5662,92.4412,98.9434,41.438,87.3978,0.7693,1.1414,0.7777,0.0975,0.0899,0.3033,8.5134
flan-t5-large,asset-test,asset-valid,3,p2,1,287,random,76.0373,6.6712,60.0521,59.0788,41.934,6.9713,82.9394,80.2921,80.4645,81.7527,71.0735,76.3219,110.6427,113.6752,62.9444,17.2903,91.1644,98.78,39.9823,86.1457,0.8366,1.2321,0.8057,0.0696,0.1214,0.2668,8.4946
flan-t5-large,asset-test,asset-valid,3,p2,1,489,random,75.6352,6.9508,60.256,59.8556,42.3541,6.673,82.7057,80.976,80.7013,80.5814,70.6153,75.5275,108.0731,111.5853,64.3355,15.6651,90.9132,98.8804,39.4482,86.2122,0.8355,1.2839,0.7979,0.078,0.1315,0.2735,8.5076
